Total_Valores,Total_NaN,Media_Aritmetica,Media_Ponderada,Media_Geometrica,Media_Harmonica,Media_Quadratica,Media_Movel_3,Media_Trimada,Media_Holder,Media_Potencia,Media_Logaritmica,Mediana,Moda,Media_Winsor,Media_Truncada,Media_Fuzzy
60,0,2.9,2.9,,,3.3317,2.9195,2.8056,3.3317,3.3317,,3.0,1.0,2.8667,2.9,3.0372
60,0,1.2,1.2,,,1.6931,1.2069,0.9722,1.6931,1.6931,,1.0,0.0,1.2,1.2,1.381
60,0,2.8,2.8,,,3.2404,2.8161,2.75,3.2404,3.2404,,3.0,2.0,2.75,2.8,3.0492
60,0,17.1,17.1,16.0708,14.8978,18.097,17.1437,16.7778,18.097,18.097,16.0708,17.0,12.0,16.75,16.431,17.3057
60,0,6.65,6.65,,,7.1543,6.7069,6.8611,7.1543,7.1543,,7.0,9.0,6.6833,6.65,6.7213
60,8,0.6538,0.6538,,,1.019,0.66,0.5,1.019,1.019,,0.5,0.0,0.6154,0.56,1.0909
60,0,0.1833,0.1833,,,0.4655,0.1667,0.0,0.4655,0.4655,,0.0,0.0,0.1667,0.0,1.0
60,0,0.2,0.2,,,0.483,0.1839,0.0,0.483,0.483,,0.0,0.0,0.1833,0.0,1.0
60,8,18.5962,18.5962,17.9398,17.2722,19.2339,18.6733,18.3125,19.2339,19.2339,17.9398,18.0,15.0,18.4615,18.3529,18.7282
60,8,6.4038,6.4038,,,7.0941,6.3667,6.2188,7.0941,7.0941,,6.0,4.0,6.3654,6.4038,6.2899
60,8,5.1346,5.1346,,,5.716,5.0933,4.9062,5.716,5.716,,5.0,3.0,5.0769,5.1346,5.145
60,0,1.5333,1.5333,,,2.1213,1.5172,1.25,2.1213,2.1213,,1.0,0.0,1.4833,1.5333,1.6814
60,0,0.1,0.1,,,0.3162,0.1034,0.0,0.3162,0.3162,,0.0,0.0,0.1,0.0,0.1
60,0,9.9167,9.9167,9.0496,8.1694,10.7525,9.8506,9.6111,10.7525,10.7525,9.0496,10.0,10.0,9.75,9.4828,10.2886
60,0,11.8667,11.8667,11.3685,10.8062,12.3167,11.7759,11.9167,12.3167,12.3167,11.3685,12.0,13.0,11.7667,11.7119,11.9963
60,0,1.6667,1.6667,,,2.273,1.6782,1.4444,2.273,2.273,,1.0,1.0,1.5833,1.5,1.8846
60,0,66.05,66.05,65.4181,64.7189,66.6227,65.977,67.0,66.6227,66.6227,65.4181,69.0,69.0,66.3,66.4915,66.5514
